Comp Ch 3,Comp Ch 4
0.0749028,-0.015664
0.0542563,0.00355114
-0.00196186,0.0148953
-0.0564173,0.0185629
-0.0792355,0.0135329
-0.0731653,0.00473667
-0.0394724,0.00603871
-0.019767,0.0124911
-0.0040633,-0.0138645
-0.00518776,-0.00911512
-0.0290561,0.0131447
-0.0331707,0.00578824
-0.0220989,-0.0307107
-0.00102213,-0.0170723
0.00017193,-0.0262846
-0.00487487,-0.0250468
-0.00407609,0.0241262
0.0236629,0.0478304
0.0501229,0.0374619
0.0344125,0.0282483
0.0252881,0.0248117
0.0309488,0.0120389
0.0220833,-0.0112503
0.00308678,-0.0267218
-0.00765017,-0.0416855
-0.00908285,-0.0400706
0.00147826,-0.0131602
0.0160184,-0.00403364
0.00915459,-0.0131559
-0.0125438,-0.00428419
-0.0249064,0.0324301
-0.0323008,0.0587368
-0.0304791,0.0133055
-0.0245449,0.0333483
-0.0149923,0.0306748
-0.00618915,-0.018485
0.0084529,-0.00214901
0.0275594,0.00558733
0.0318952,-0.0195361
0.0280579,-0.0471108
0.0158927,-0.0430957
0.0129937,-0.022481
0.00417888,0.00907317
-0.00908122,0.0364173
-0.0134736,0.0174542
-0.0112596,-0.0173352
-0.00687579,-0.00405952
-0.001225,-0.0245555
0.00752583,-0.022959
0.0153858,0.0208287
0.0226258,0.051441
0.0194538,0.0593126
-0.00216234,0.0501483
-0.000170535,-0.0366137
0.0130168,-0.0411381
-0.00835299,0.00111718
-0.00781213,0.00532444
-0.0181673,0.00307775
-0.0808542,0.0112969
-0.100726,-0.0357175
0.02187,-0.0669878
0.0283798,-0.0286362
0.0211192,-0.0218665
0.0288088,-0.0257493
0.0232084,-0.0105482
0.00285719,0.0314939
-0.00733516,0.0465764
-0.0114493,0.0462911
-0.016263,0.0249593
-0.00301724,0.00830911
0.0300975,0.0139606
0.0589612,0.00109346
0.0525387,-0.0154074
0.0367232,-0.0189511
0.0368182,-0.0185653
0.0235828,-0.0149996
-0.0202206,-0.0112996
-0.054179,-0.0188996
-0.0826978,-0.0240635
-0.063001,-0.000980149
-0.00934634,0.0290455
0.00317811,0.0356912
-0.015098,0.027798
-0.0210061,0.028768
-0.0122819,0.0234825
0.0320055,-0.00374206
0.0665366,-0.0112161
0.0420985,-0.0097114
-0.0101555,-0.0136358
-0.020784,-0.0298213
-0.00542933,-0.0334363
-0.00732039,-0.0149115
-0.00694634,-0.000463098
0.0028394,-0.000123298
0.00585607,0.00386561
-0.00338151,0.019342
-0.00731751,0.0127154
-0.00495945,0.000114181
-0.000940612,-0.000901163
0.00433494,0.030072
0.00710226,0.0394695
0.00565367,0.0257839
-0.00416598,0.00751642
0.00429477,-0.00668183
0.0152236,-0.0161049
0.00404884,-0.0275937
-0.0183485,-0.031742
-0.026195,-0.0199482
-0.0219989,-0.0107822
-0.0105275,0.00518272
0.00471716,0.0156216
0.00161684,0.00705418
-0.0123986,0.00276313
-0.0188909,0.0086414
-0.0154531,0.00330178
-0.00402118,-0.00448082
0.0186985,-0.00830746
0.0346127,0.00267528
0.0267188,0.00483367
0.0126259,-0.00621349
0.00481066,-0.00738586
-0.00100859,-0.0121426
-0.00546005,-0.0187097
-0.0117418,-0.023315
-0.0140941,-0.0197514
-0.00976124,-0.00746123
-0.00792348,0.0180491
-0.00844354,0.0282645
-0.0139386,0.0201831
-0.0321677,0.0285211
-0.0266869,0.0328433
0.0760437,0.0320424
0.139435,-0.0115793
0.0269459,-0.018633
0.00156339,0.00634636
-0.0345364,-0.0168336
-0.070747,-0.0240737
-0.0477073,0.019514
0.00405395,0.021058
0.0516523,-0.0289621
0.0546804,-0.0236846
0.00874569,-0.02259
-0.0520296,0.0046482
-0.0781578,0.0455119
-0.0596279,0.0529119
-0.063059,0.0197646
-0.0401939,-0.0169418
0.0425597,-0.0422552
0.0678066,-0.0226344
0.0228822,0.00808381
0.064262,0.00050878
0.107063,-0.0307692
0.0787866,-0.0222092
0.00617793,-0.0108798
-0.0434686,-0.0193105
-0.0502331,-0.0301552
-0.0378439,-0.0210163
-0.0190429,-0.00462916
0.00422337,0.0133
0.00357382,0.0144368
-0.0110484,0.00408207
-0.00878983,0.00400642
0.00500841,0.00915661
0.02174,0.0114554
0.0231446,0.00831503
0.0222171,0.00875954
0.0569646,0.0187585
0.0535435,0.0327227
0.00820529,0.0110946
-0.0439956,-4.53e-05
-0.0443805,-0.00820596
-0.0206596,-0.00981266
-0.00446246,-0.0129932
-0.0119171,-0.0128972
-0.0293173,-0.00971598
-0.0403666,-0.00150585
-0.055306,0.0119958
-0.0525299,0.0209236
-0.0314205,0.0102814
-0.0125002,0.00983994
0.00106502,0.0192529
0.00416044,0.0101648
0.00073739,-0.0098559
-0.00365036,-0.00276247
-0.00228987,0.0239231
0.00281463,0.00720982
0.00650842,-0.0146025
0.0185897,0.013332
0.0251199,-0.0226651
0.0257597,-0.0195166
0.0231587,-0.0332691
0.0223429,-0.00724204
0.0200301,0.0052535
0.0163977,0.0149392
0.0151308,0.0068777
0.00854399,-0.00469248
-0.00786395,0.0175194
-0.0145838,0.0784372
0.0188912,-0.0486881
0.027409,-0.0928224
0.0126741,-0.0298872
-0.00546348,0.0143204
-0.0286376,0.0499982
-0.0367412,0.0191554
-0.0400853,-0.0407842
-0.0317427,0.00915877
-0.00648023,0.0395137
0.0111049,-0.00853868
0.0099395,-0.00264427
0.0165609,0.00670914
0.0264306,0.0265822
0.0266948,-0.0101922
0.0159118,-0.038323
0.0101794,-0.0202679
-0.0130673,-0.00194219
-0.0364223,0.00298512
-0.0482835,-0.00877194
-0.0491467,-0.0101795
-0.0299692,0.00959474
-0.00518429,0.00800179
0.00982996,-0.0117637
0.0264589,-0.0107178
0.0380054,0.00160666
0.0463277,0.0145116
0.0598447,0.0227685
0.0605791,0.0147745
0.0532362,0.0175763
0.0260039,0.022769
-0.0348719,-0.0011624
-0.0621876,-0.0141759
-0.0391637,-0.0208972
-0.0328662,-0.0201327
-0.0303403,-0.0102441
-0.0126179,-0.00677114
-0.00304161,0.00945094
0.00443243,0.0193411
0.0241572,0.0114668
0.0452365,0.0043284
0.0247215,-0.0099531
-0.014428,-0.0162986
-0.0265398,-0.00505692
-0.0276216,0.00184536
-0.0189764,0.00711075
-0.00127301,0.0165805
0.00680289,0.00900744
0.000266623,-0.00705002
-0.005769,-0.00861386
-0.00884367,-0.00211096
-0.0141385,-0.00206841
-0.0169016,-0.00701887
-0.0149893,0.00098161
-0.0042078,0.0152901
0.00706912,0.00411504
0.0062301,-0.00344272
0.00430912,0.00510984
0.00242394,0.00388731
0.00736965,-0.0142869
0.00626726,-0.0130877
0.00398707,-0.00715689
-0.0011485,0.00281019
0.00707927,0.0208515
0.0135746,0.00232202
0.0224181,-0.0241232
0.0457132,-0.0190263
0.0583893,-0.00878772
0.0135984,-0.0038456
-0.0239767,-0.0176297
-0.0200975,-0.00289955
-0.0383418,0.0220963
-0.0427146,0.0202575
-0.0244038,0.00516459
-0.00145462,-0.00267412
0.0132349,-0.00692787
0.010876,-0.00365013
-0.000419966,0.0050721
-0.0089328,0.00866517
-0.00841513,0.0272305
0.00222016,0.0281137
0.0212263,0.00849175
0.0329865,-0.013439
0.0371245,-0.0207279
0.0487033,-0.0152758
0.0467842,-0.0052891
0.0413383,0.00612403
0.027664,0.0281532
-0.0245103,0.0271511
-0.0800236,0.00688164
-0.108694,-0.0123698
-0.075221,-0.0125237
-0.0106029,-0.00252497
0.0353261,0.0144953
0.0586011,0.0227278
0.0482722,-0.0152803
-0.0179452,-0.0143982
-0.0729791,0.0226915
-0.0684897,-0.0388135
-0.0371075,-0.051891
-0.0163718,-0.0169511
-0.00416166,-0.0129212
0.000599977,-0.0390244
-0.0106348,-0.00976619
-0.0130551,0.0186774
-0.00914598,0.0154025
0.00173031,0.0126944
0.0218179,0.00970706
0.0197931,0.00505759
0.0240536,0.00644753
0.0266343,0.0347931
0.0198821,0.02344
0.0215895,-0.0217289
0.0257265,0.00534353
0.0171791,0.0118848
-0.00896568,-0.00535836
-0.0354227,-0.0128158
-0.0335162,-0.0150252
-0.0202773,-0.018978
-0.00766671,-0.0203967
0.0146737,-6.79e-05
0.0256808,0.0194889
0.0430912,0.0165356
0.0616956,0.015444
0.0667811,0.0100496
0.039379,0.00082489
0.0171077,-0.00413236
0.0405555,0.00047111
-0.0110046,0.00412777
-0.0459461,0.0152556
-0.0388596,0.0292868
-0.0186078,0.00665453
-0.00502132,-0.0278491
-0.0141356,-0.0316937
-0.0354317,-0.0183372
-0.0487263,-0.0184735
-0.0446396,-0.0127939
-0.0347697,0.0111162
-0.01903,0.0256641
-0.00510869,0.0229265
0.0124715,0.0206943
0.0150753,0.0135802
0.00783435,-0.00857074
6.91e-05,-0.0158617
-0.00355074,-0.00660605
0.00631961,-0.000316625
0.0212001,0.0193444
0.0220379,0.0190937
0.0111579,0.000463048
0.00494922,-0.0151533
0.0259916,-0.0207077
0.0649302,-0.0258824
0.0456854,-0.0210829
0.0136928,-0.00018693
0.0455671,0.0269064
0.0612476,0.0251036
0.0144062,0.0124183
-0.0148268,0.000157346
-0.0602915,-0.00885266
-0.106768,-0.0153792
-0.0926239,-0.013196
-0.0428195,-0.00980787
0.0153504,0.000108859
0.00862652,0.018667
-0.00965192,0.0146212
-0.0105959,-0.00309428
-0.00318047,-0.00750263
-0.00664224,-0.00742059
-0.00975428,-0.014855
-0.0154997,-0.026868
-0.0124888,-0.00414641
0.00707157,0.0150082
0.0147837,0.00512162
0.0112849,-0.00157854
0.00990794,-0.00261138
0.013065,0.00230535
0.0104862,-0.00247042
0.0028562,0.0120006
-0.00354262,0.0185108
-0.010746,0.0352947
-0.00123862,0.0246644
0.0163711,-0.0239258
0.0139533,-0.0268697
0.00659251,-0.0158558
0.00216558,-0.00501461
-0.00732811,-0.0130989
-0.0200069,-0.0178912
-0.0053578,0.00844725
0.0123302,0.02109
0.00507885,0.0131493
0.0114239,-0.00304029
0.017049,0.00898752
0.012065,0.00315053
0.00770474,-0.027271
0.00818193,-0.0012672
0.0190075,0.00847707
0.0131068,0.0179775
-0.0181902,0.018893
-0.0356425,0.00237951
0.0139739,-0.0119864
-0.00314339,-0.00743173
-0.0203637,-0.0104034
0.00719979,-0.0122371
0.0137499,-0.00187897
0.00207296,0.00723589
-0.00592795,0.0122455
-0.0114062,0.00402869
-0.00310647,-0.00168455
0.0077396,-0.00984861
0.00597231,-0.011789
0.0029563,-0.00781637
0.00148823,0.0214761
-0.00276539,0.0159672
0.0126901,0.00857365
0.0233401,0.00915355
0.0165153,-0.00756901
-0.00510518,-0.0111171
-0.0202562,-0.00840382
-0.0235512,-0.0139339
-0.0232555,-0.0157004
-0.0183723,-0.00167731
-0.0114303,0.0126011
-0.00489294,0.0094349
8.11e-05,0.00808417
0.0165321,0.00601173
0.025637,-0.0132602
-0.0129939,-0.0192268
-0.0335136,-0.00818945
-0.0278663,-0.00222206
-0.018228,0.0187469
0.00176133,0.0261147
0.00721532,0.019295
0.0123093,0.0260127
0.0250216,0.0089045
0.0250007,-0.0332403
0.015359,-0.0598866
0.0058647,-0.0312473
0.00214905,-2.39e-05
0.00107301,0.0117379
-0.00144724,0.00447201
-0.0051605,0.00174264
0.000173505,-0.00229985
-0.00145843,-0.00126107
-0.00822956,-0.0163944
-0.0051038,0.00783837
0.00788619,0.0251042
0.0236201,0.0252278
0.0226493,0.0288392
-0.00446182,0.0139847
-0.0198984,-0.00578869
-0.016669,-0.00366196
-0.0135392,0.00862485
-0.01304,0.0060617
0.0150934,-0.0012512
0.0253279,0.0013929
0.0215561,-0.00539322
0.00729836,0.00276412
-0.0133765,0.0014087
-0.0204127,-0.0244477
-0.00487184,-0.0165285
-0.00434189,-0.00355569
-0.0145167,0.00147389
-0.017582,0.0067475
-0.0156862,0.00393554
