Comp Ch 3,Comp Ch 4
-0.009016,-0.0201683
-0.0200253,0.0110149
-0.0398389,0.0236549
-0.0503935,0.0243385
-0.117088,0.0355837
-0.101285,0.0293086
-0.0360738,-0.00636635
0.0526928,-0.0200585
0.0571256,-0.005825
0.0308673,0.00737015
0.123457,-0.0115753
0.135079,-0.00884166
0.0389127,-0.00654448
0.0247334,0.00620224
0.0659605,-0.00526129
0.108396,-0.0140987
0.0897518,-0.0054167
0.0826124,0.0111603
0.0704984,0.0425875
0.0060714,0.0303313
-0.0740686,0.034853
-0.0861562,0.0151802
-0.0765529,-0.0250662
-0.0723343,-0.00493723
-0.0275162,-0.00235574
0.00610097,-0.0145183
-0.0360385,-0.0108211
-0.0764996,0.022437
0.0185648,0.0270968
0.0817178,0.0169708
0.0837709,-0.0109389
0.0713425,-0.00705999
0.0403172,0.0390223
0.0235961,-0.0138142
0.0229722,-0.0831031
-0.0121131,-0.0294474
-0.0142427,0.00990434
-0.0142533,-0.000708425
-0.0198466,-0.0107943
-0.0687867,-0.008655
-0.103164,-0.00733327
-0.101152,-0.021737
-0.090129,-0.00560009
-0.0345182,-0.0182245
0.0804073,0.0061365
0.110511,0.0390385
0.0227271,0.0333449
-0.0592443,0.0128463
-0.0171429,0.00909078
0.0438034,-0.00319743
0.0218695,-0.0370744
0.000369386,-0.00984136
-0.0742302,0.0274439
-0.0796539,0.0205508
0.0337186,0.00232785
0.0738671,0.00733056
0.0648405,-0.000354973
0.0406352,-0.0100096
0.00111295,-0.00937927
-0.00813364,-0.022207
0.0155052,-0.0115269
0.0178158,0.00440642
-0.00901095,0.0168496
0.00206736,0.0100578
0.0115843,-0.0175288
-0.0215634,-0.0171783
-0.0336033,0.000739632
0.00846618,0.0165748
0.0283007,0.0145478
-0.00891269,0.032643
-0.0087209,0.0321304
-0.00675749,0.0141282
0.00567765,-0.0160724
0.0250488,-0.0239247
0.00675684,-0.00220201
-0.0287036,0.00568364
-0.0355527,-0.000682825
0.0017608,-0.00603922
0.0154462,0.00143947
-0.0364187,0.00927787
-0.0734103,0.00256281
-0.0395888,-0.0158126
0.010363,-0.0276462
0.0519395,-0.0351568
0.0441587,-0.00494088
0.00733207,0.0349144
0.0478833,0.0369374
0.0741771,0.0239723
0.0106325,-0.0166234
-0.049056,-0.0187642
-0.0501683,-0.00592373
-0.039326,-0.0139669
0.0250973,0.00900847
0.0715164,-0.0401213
0.0409202,-0.0271972
0.0292814,0.00571651
0.0349179,0.00695141
0.0223584,-0.00937793
0.0102535,-0.0208846
-0.0145206,-0.0132316
-0.0494513,0.0222754
-0.0554362,0.0623292
-0.0456571,0.0634692
-0.0262316,-0.000594661
-0.024829,-0.0197381
-0.0259699,-0.0134352
-0.035097,0.0130952
-0.0569716,-0.00495715
