Comp Ch 3,Comp Ch 4
0.0943945,0.0561106
0.123487,-0.0418499
0.188832,-0.0287205
0.155854,-0.0262035
0.196185,-0.0918648
0.286978,-0.108938
0.181258,-0.107032
0.0180352,0.0280559
-0.0774106,0.13809
-0.110472,0.00839327
-0.035483,-0.00498729
0.0359506,0.01679
0.0824256,-0.0205164
-0.0283361,-0.0686169
-0.0666642,-0.0509954
-0.0129879,-0.08921
0.0142055,-0.00585616
0.0407852,0.0481654
-0.168618,0.05886
-0.231635,0.0508509
0.0586448,0.0123338
0.236267,-0.0296274
0.116208,-0.0237588
0.00324881,-0.0044872
0.00935388,0.0829914
0.0124393,-0.0136247
0.00745408,-0.0444463
0.0108144,0.0234244
-0.159558,0.0161523
-0.381832,-0.0460462
-0.312558,0.00157315
0.00797452,-0.0938055
0.210261,-0.146945
0.206318,0.0361133
0.208365,0.103638
0.159172,0.0994462
0.0607087,0.036511
-0.0115609,0.0324706
-0.0332317,-0.0803113
-0.0215894,-0.0653341
-0.0967948,0.00955923
-0.134665,0.0765139
-0.0997651,0.0525039
-0.065289,0.109599
-0.0241875,0.0584635
0.0413721,-0.0165162
0.13198,-0.0416084
0.119591,-0.0767363
0.0157732,-0.00248891
0.00668564,0.00941234
0.0668822,0.0470662
0.0459148,0.00271257
-0.0695558,0.0459309
-0.151325,0.00329357
-0.200324,-0.055801
-0.0852661,-0.0460428
0.149489,-0.0458568
0.164033,-0.068821
0.0416407,0.00301577
-0.0557334,-0.0198089
-0.144269,0.035833
-0.0866469,0.0548773
0.0954575,0.0424824
0.199961,0.0523252
0.153369,-0.0218695
0.176658,-0.125281
0.216923,-0.0950709
0.0506149,-0.0166103
-0.162735,0.0806723
-0.331282,0.0684259
-0.388973,0.0831348
-0.246677,0.0596137
-0.0699722,0.0680714
-0.0132065,-0.0300274
-0.0126232,0.0163192
0.0283977,0.010085
0.110895,-0.0871913
0.0927248,0.0107949
0.0220604,0.0280956
0.013156,-0.0499102
0.0165194,0.0428838
0.0483757,-0.0537566
0.0161113,-0.055424
-0.016562,-0.00691115
0.0608823,-0.00874636
0.177038,0.00511458
0.112,-0.0026051
0.0544979,-0.0101981
0.0188893,0.0270417
-0.0453471,0.0072501
-0.054934,-0.0595793
-0.0106173,-0.0402373
-0.00473681,0.00595966
-0.0150178,-0.0834746
-0.0168543,-0.0813747
-0.015708,0.034869
-0.0350278,0.0693851
-0.0609532,0.0694931
-0.117195,0.0405791
-0.0956464,0.0155611
0.0168212,-0.0896328
0.118718,-0.11751
0.0846568,-0.17205
0.0775696,0.0653603
0.117854,0.152151
0.0972761,0.0506567
-0.05247,0.0694299
-0.19717,0.023204
-0.166613,0.0624331
-0.00449119,0.10981
0.0704602,0.013764
0.0771189,-0.00288466
0.0443866,-0.0556498
0.0118697,-0.000780239
0.0417788,-0.110762
0.158927,-0.0493395
0.0705361,0.0678495
-0.0857849,0.0115242
-0.103687,0.0200206
-0.0702076,0.0256318
-0.0279577,0.0468469
0.00599707,0.0605548
0.0149648,0.00955159
0.0312209,-0.0227146
0.00493466,-0.00532119
-0.0353839,-0.0195517
-0.0438,-0.0994601
-0.0319199,-0.116096
-0.0513316,0.0033411
-0.0744682,0.041404
-0.0650969,-0.0440643
0.0350112,-0.02747
0.0771206,0.0216474
0.146169,0.0840302
0.29388,0.0192457
0.229916,-0.0254748
-0.0583528,0.0665713
-0.212464,0.0334702
-0.239249,-0.0529718
-0.12786,-0.121187
-0.0474082,-0.0893144
-0.00292446,0.0176535
0.0497431,0.0693335
0.0686948,0.0635665
0.0810519,0.00565743
0.0499341,0.152108
0.00302427,0.105037
-0.00188159,-0.0635272
-0.0305764,-0.0857957
-0.0924706,-0.0481101
-0.153479,0.0529156
-0.135328,0.0339694
-0.0387433,0.0491263
