Comp Ch 3,Comp Ch 4
0.155945,0.0927497
0.0697181,0.0375916
0.0412337,0.0279215
0.14868,0.00646195
0.164518,-0.0879801
0.0971537,0.0172932
0.0377473,0.0888305
0.0351398,0.042095
0.0669586,-0.0671987
0.0666188,-0.0494517
0.0300654,-0.0242842
-0.0174708,-0.0308252
-0.0959145,-0.0340507
-0.145906,-0.0516351
-0.0960598,-0.0522741
-0.0609076,-0.0286058
-0.0781098,0.0287677
-0.0330644,0.0891803
0.0127394,0.0115768
-0.00562606,0.0233158
-0.0174268,-0.00160438
0.0192077,-0.0948079
0.0217546,0.0393051
0.0221816,0.0614936
0.0965722,-0.044278
0.0688981,0.0378757
0.0425235,0.0140334
0.018292,-0.0398346
-0.0791989,-0.0684083
-0.124215,-0.0250683
-0.0967045,0.00180658
-0.0288002,-0.0402236
0.0063312,-0.0224311
0.0257699,0.0624752
0.0296547,0.155634
0.00021876,0.118356
-0.00482262,0.000289636
-0.0129286,-0.0542927
-0.0117883,0.000743645
0.00954612,-0.0227443
0.0496362,-0.0194336
0.0766209,-0.0120689
0.0365451,-0.0457494
0.0228812,-0.00706965
0.0288765,0.00865208
-0.00803546,0.0218289
-0.115142,0.058362
-0.15636,-0.0204309
-0.0471893,-0.0028703
0.0710951,-0.0171001
0.0371477,-0.0840041
-0.0115916,-0.116758
0.00132455,0.113436
0.043049,0.119782
0.0766609,-0.131883
0.0630985,-0.0814239
-0.00192193,0.106571
-0.0228974,-0.0584226
0.0226626,-0.117559
0.0312491,-0.0162478
-0.0106567,-0.024368
-0.0314804,-0.0148818
-0.00014222,0.0786645
0.0559752,0.0675876
0.0482572,0.00912478
0.020891,0.0147711
-0.0243758,-0.024832
-0.0586152,0.0127827
-0.0556411,-0.00562798
-0.0183784,0.0177521
0.00407488,0.125987
9.96e-05,0.11262
-0.0232447,0.0571444
-0.0309634,0.0359837
-0.0282164,-0.0334543
-0.00283121,-0.0185856
0.0429204,0.0363814
0.0492852,0.0420242
0.0178418,0.0131468
0.013391,-0.0327083
0.0477248,-0.0368827
0.0426824,-0.0534952
-0.00232563,-0.000169154
-0.0758737,0.0187751
-0.103419,0.0132514
-0.0216493,-0.00305693
0.0705047,-0.0324895
0.071964,-0.0194762
-0.00167822,-0.0615398
-0.0588635,-0.0749494
-0.0658215,-0.0666863
-0.0853384,-0.0720637
-0.0660407,0.0183187
-0.0104667,0.00853885
0.0272665,-0.00736442
0.040745,-0.0257492
0.041156,-0.024504
0.0624451,-0.0217964
0.0303842,0.0872518
-0.0246011,0.0841016
-0.0346259,0.0397016
-0.0200477,0.0550672
0.00309972,-0.00872409
0.0407838,-0.0207097
0.0569121,-0.0920569
0.0438157,-0.108292
0.0231527,-0.096587
0.0152556,-0.0407372
0.0162404,-0.00887586
-0.0011497,0.0180732
-0.0124658,0.0328208
-0.0130987,0.0902563
-0.014159,0.159237
-0.0243989,0.107857
-0.0420182,-0.0109143
-0.0315858,-0.0446233
0.00902016,-0.0626215
0.0614853,-0.152309
0.090982,-0.0835811
0.0708725,-0.0354648
0.022027,0.0681592
-0.0516129,0.133118
-0.0436098,0.0805192
0.0131203,0.0975847
-0.00882324,0.134733
-0.0987939,0.141558
-0.155999,-0.0768226
-0.116617,0.0119024
0.00603646,0.0185742
0.0601593,-0.13316
0.0858938,-0.127116
0.106365,0.00181988
0.0443157,0.0549616
-0.0579609,-0.00103417
-0.0660079,0.0372007
-0.0269539,0.0641401
-0.000780019,0.0157747
0.0406278,-0.105825
0.0409333,-0.128249
0.0125845,0.035022
0.00288431,0.0203991
0.0440251,-0.176961
0.0360872,-0.161003
-0.0146869,-0.0479165
-0.0831738,0.0431914
-0.0983503,0.103971
-0.0504022,0.138627
-0.00136074,0.105163
0.0309211,-0.00669162
0.0484641,0.00334938
0.0641781,-0.00685371
0.0422503,-0.17093
0.0444927,0.0172306
0.00856512,0.0575169
-0.05525,0.0601802
-0.033108,-0.00855357
0.0212076,-0.0457287
0.0285202,-0.036527
0.00214074,0.0798856
-0.0225589,0.0198845
0.0427173,-0.00278899
0.074786,-0.000680948
0.0117755,-0.0278021
-0.0852482,-0.013379
-0.126003,0.0296259
-0.0788313,-0.0493212
0.0237073,-0.0407503
0.101126,0.0145932
0.0899667,0.075058
0.0298855,-0.0463467
-0.0303889,-0.0081131
-0.0632454,-0.0166619
-0.0373459,0.0865685
0.0140499,0.0692433
0.0491502,0.023361
0.0251734,0.0049352
0.0251168,0.00557868
0.0391142,0.00545419
0.00452608,-0.0123339
-0.052254,-0.0355186
-0.0553454,-0.0438871
-0.0145036,-0.0024261
-0.0125754,0.0183794
-0.0614279,-0.0268073
-0.0789527,-0.0866133
-0.042042,-0.0332692
-0.0104182,0.0346597
0.00135103,0.0605957
-0.008041,-0.0240074
0.0117898,-0.0240388
0.0242108,-0.0351863
0.025387,-0.0308655
0.0556785,-0.0112232
0.0688993,0.0885302
0.0304741,-0.000197261
-0.00283837,-0.0146031
0.0357716,0.0042675
0.0755589,0.00630213
0.049893,-0.0175127
-0.00831887,-0.0478128
-0.0476684,0.0200303
-0.0532636,0.0122165
-0.0263158,-0.0348701
-0.0162178,-0.0412911
-0.0346852,0.047099
-0.0267524,0.0307592
-0.000894413,-0.00204085
0.00716299,-0.00823421
0.00958553,-0.0186858
0.0195248,0.00124591
0.018395,0.0166906
-0.000725661,0.0099039
-0.0214382,0.0188184
-0.0290203,0.00181374
0.00637283,0.00921167
0.0694037,-0.00677505
0.0635901,0.0297597
-0.0357976,0.0351248
-0.078306,-0.0115066
-0.0613046,0.0872095
-0.031001,0.123547
0.0200148,0.100164
0.063812,-0.0242317
0.0750644,-0.0354157
0.0721331,-0.0449384
0.0480385,-0.0698415
-0.00251109,-0.0756703
-0.0447124,-0.0513347
-0.0699843,0.000943473
-0.0818818,0.0538778
-0.0706371,0.0314459
-0.0786467,0.00479007
-0.0668183,0.0274581
-0.0267889,-0.00515558
0.0135639,-0.064238
0.0293862,0.00353021
0.0505318,0.00706734
0.0704664,-0.0276973
0.0877822,-0.00678052
0.0666854,0.0296095
0.0214146,0.0035243
-0.0057646,-0.00662757
0.00643202,-0.023461
0.0342536,-0.061456
0.0366254,-0.0887898
0.0327046,-0.0776212
0.0274909,-0.0623431
-0.00336026,0.0071907
-0.0526656,0.0329547
-0.0697063,0.0365237
-0.0610392,0.0409698
-0.0376907,0.0149817
-0.0215917,0.0355041
-0.0047441,0.0342713
0.0215219,0.0170762
-0.00941772,0.0145833
-0.0302456,-0.0130438
-0.0134001,-0.0428392
0.00167343,-0.0214631
0.00428556,0.0359203
0.0234688,-0.0108708
0.0608662,-0.0526383
0.0745979,0.0101355
0.0603429,0.0177831
0.0219078,-0.0151963
-0.00886818,-0.0294517
-0.0117595,0.0441399
-0.0148534,-0.0169522
-0.0126585,-0.0420435
-0.0106207,-0.0378492
-0.0431125,-0.0316404
-0.115261,-0.0438894
-0.142995,-0.0258378
-0.13552,0.10346
-0.057949,0.0820207
0.0300833,-0.0327857
0.0494157,0.0910738
0.0547464,0.126579
0.0922989,0.0934141
0.122883,0.0498958
0.101612,-0.0990736
