Comp Ch 3,Comp Ch 4
0.0315215,-0.00573393
0.0516645,0.0190115
0.0536194,0.0127241
0.0209465,0.00707047
-0.0172763,0.0195089
-0.0580363,0.00979281
-0.0783429,-0.00815636
-0.0872486,-0.0301571
-0.0711671,-0.0243721
-0.0818997,-0.0232917
-0.0904958,-0.00975495
-0.075149,0.00441746
-0.0546617,3.85e-05
-0.0122047,-0.0053232
0.0143701,0.00453127
0.0281632,-0.00467487
0.0363498,-0.0109984
0.045409,-0.00419473
0.0483569,-0.000256657
0.0288462,0.00974981
-0.00176515,0.0242463
-0.0366028,-0.0274638
-0.0761551,-0.0272833
-0.0765443,0.00597848
-0.053562,0.00972
-0.0695564,0.0074415
-0.0724361,-0.00163249
-0.0323118,0.013288
0.00908079,0.0159595
0.0334408,0.00514868
0.0717437,-0.0101654
0.101166,0.0259777
0.0752537,0.0222213
0.0560128,0.0030751
0.0556555,0.00832223
0.0620459,0.0118305
0.0592677,0.00815211
0.0372393,0.0132754
0.00332636,0.0177348
-0.0305323,0.00411566
-0.0491147,-0.022532
-0.0545558,-0.0344641
-0.0579253,-0.0255026
-0.0615644,-0.0198161
-0.0671927,-0.00979743
-0.0529121,0.000660329
-0.0203374,0.00359046
0.00501505,0.00527306
0.0188012,-4.98e-05
0.0336742,-0.0103159
0.0434053,-0.00639305
0.0479188,0.0101383
0.0548537,0.0154663
0.0437739,0.00888894
0.0129537,0.00504472
-0.0156468,0.00542999
-0.0306702,-0.0162807
-0.0300511,-0.0165876
-0.0333312,-0.0170386
-0.0691335,-0.0402948
-0.0935668,-0.0433119
-0.0990956,-0.0146644
-0.0374207,0.0184385
0.0662287,0.0160727
0.0955741,0.0149152
0.0734404,0.0141925
0.0605084,0.00163483
0.0649958,0.000617923
0.0579795,0.0107231
0.0208892,0.00279872
-0.0436924,-0.00205173
-0.0643609,0.0473498
-0.0645674,0.045331
-0.0489383,-0.00928065
-0.008286,-0.020167
-0.00472569,-0.0122346
-0.0506328,-0.00492972
-0.065416,-0.0183662
-0.000404365,-0.0155416
0.0444551,0.0138396
0.0669513,0.0064714
0.0649769,0.00605556
0.0556349,0.00575304
0.0344439,-0.0187462
0.00639392,-0.0161856
0.0212793,0.00398926
0.057874,0.0106387
0.070748,0.014339
-0.019668,0.0409588
-0.16543,0.0262075
-0.245446,-0.00394184
-0.204048,-0.0169295
-0.0633605,-0.0161543
