Comp Ch 3,Comp Ch 4
-0.0280645,-0.0181021
-0.049231,0.00320854
-0.0405512,0.0200395
-0.00764055,0.0221783
0.0235841,0.0358075
0.0407571,0.0415988
0.0356659,0.0327334
-0.00637558,0.0168986
-0.0491935,0.0088215
-0.0860889,-0.00947802
-0.148786,-0.00927354
-0.202233,0.0112576
-0.159999,0.0159552
-0.0301474,0.00194002
0.0645266,-0.00924795
0.086967,-0.0206024
0.0745008,-0.0297946
0.0835597,-0.0222831
0.127052,-0.00131131
0.141101,0.0111312
0.107485,0.0144539
0.0772224,0.0169699
0.0509186,0.0208291
0.012682,0.00451183
-0.00952932,-0.0120044
-0.0241551,-0.00178211
-0.0339737,-0.0103342
-0.0389316,-0.00506212
-0.0421648,0.0135755
-0.0527018,0.0203348
-0.035074,0.00773217
-0.00470617,-0.00159823
0.0157498,-0.0147536
0.0151326,-0.0228694
0.00107999,-0.0230768
-0.00847527,-0.0177773
-0.011004,-0.0103727
-0.010671,0.0063334
0.00358341,0.0197492
0.0243881,0.0176936
0.00887669,0.00167473
-0.00859342,-0.000622124
-0.0409999,0.0133804
-0.0966273,0.00138938
-0.0938636,-0.000728697
-0.0246994,0.0357267
0.0341259,0.0393669
0.0588646,-0.006252
0.0621242,-0.00729208
0.0366951,-0.0100562
0.00705629,-0.0258633
-0.00715546,-0.0195697
-0.00438654,-0.01571
0.0044205,-0.0184864
-0.011537,0.00127156
-0.0727433,0.0153044
-0.0786274,0.00544947
-0.0363655,-0.0117559
0.0094503,-0.0142928
0.0360518,-0.000701007
0.0529081,0.00258328
0.0516177,-0.0151435
0.0444562,-0.00378463
0.0208731,0.011824
0.0193114,0.0304256
0.0243686,0.0204518
0.0268269,-0.0116808
0.031626,-0.0259233
0.024716,-0.0139054
0.00630158,-0.00130822
-0.0220444,0.010235
-0.030116,0.0134722
-0.023242,0.0156179
-0.00591922,0.00916216
-0.0076041,0.000118827
-0.0273256,-0.00147803
-0.0487478,0.00363889
-0.065915,0.00855727
-0.0616005,0.01292
-0.0538711,0.014426
-0.0370064,0.00553665
-0.00776098,-0.000129869
0.0336175,-0.0179923
0.0556823,-0.0425374
0.0368126,-0.0281851
0.0267207,-0.0146492
0.0399159,-0.00754841
0.0504038,-0.00747332
0.0496776,-0.00147647
0.0401188,0.013531
0.0411496,0.00399959
0.0456433,-0.00144094
0.0310748,0.0156788
0.0115223,0.0127335
-0.014673,0.00421511
-0.0421283,0.0141533
-0.0578966,0.0279888
-0.0594661,-0.00513682
-0.04049,-0.00109325
-0.0212057,0.00488071
-0.0163268,-0.0125203
-0.0224356,-0.00763365
-0.0243155,-0.00290363
-0.0210074,-0.00384946
-0.00752068,0.0061009
0.00667173,0.0145097
0.0129118,0.0045379
0.0146552,-0.0194598
0.0143907,-0.019436
0.0158795,-0.00275963
0.0198662,0.00396246
0.0201293,0.0118687
0.0065013,0.00924129
-0.0077865,0.0065164
-0.0171107,0.00101032
-0.0108084,-0.00833707
-0.00268922,-0.0347427
-0.00473311,-0.0354674
-0.0107347,-0.0130208
-0.010831,0.00493985
-0.00559816,0.0194786
-0.00086428,0.0207644
-0.0033146,0.0176682
-0.00566577,0.00217715
0.00180848,-0.00856671
0.0207411,0.00886512
0.0228981,0.00223687
0.0127632,-0.0107772
0.01394,0.0215542
0.00816431,0.0329955
0.00298906,0.0193216
0.00393964,0.00335049
0.00269749,-0.0129048
-0.00749807,-0.0270488
-0.0171218,-0.0229971
-0.0185385,-0.00843254
-0.0133034,-0.00589342
-0.00754126,-0.000216883
0.00487563,0.0118133
0.015742,0.0121474
0.0357863,-0.00522514
0.0515717,-0.0140106
0.0439285,-0.00282725
0.0249941,0.00243288
0.0047926,0.0073395
-0.0043962,0.0111198
-0.00811761,0.0107479
-0.0218983,0.00470559
-0.0268937,-0.000926784
-0.0302575,-0.0172976
-0.0284697,-0.0266168
-0.0334353,-0.0151626
-0.0267687,-0.00119528
-0.0134002,0.00362081
-0.00544972,0.0123632
0.00504082,0.0166069
0.0178989,0.0104883
0.0159142,-0.0078389
0.00833542,-0.00980947
0.002427,0.000666269
0.00561845,0.00811404
-0.0060892,0.0144666
-0.0265603,0.0151205
-0.0176568,0.0132231
0.00264576,0.00819732
0.0224234,-0.00100069
0.0346746,-0.0196506
0.0280159,-0.0233324
-0.00305858,-0.00839889
-0.0474181,-0.00614859
-0.0241287,-0.0017365
0.0207295,0.00710091
0.0452027,0.0122002
0.0520054,0.00721711
0.0478297,-0.012793
0.0183091,-0.0131839
-0.0276279,-0.00840505
-0.136605,-0.00686139
-0.19554,0.00443959
-0.136662,0.0198023
-0.012796,0.0134126
0.0844937,0.00361845
0.126824,-0.00470664
0.12065,-0.0244108
0.0441395,-0.0201477
-0.0157892,-0.00736883
-0.0311729,0.00143277
-0.0219603,0.0194438
0.0102799,0.025202
0.041972,0.014887
0.0707394,-0.0022166
0.0563469,-0.0156772
0.0180036,-0.0207283
-0.00298136,-0.0169892
-0.00978414,0.0117141
-0.0238527,0.0168038
-0.0291415,0.00741065
-0.0334137,0.00449845
-0.0246129,0.00943183
-0.0162079,-0.00338874
0.0221267,-0.0149632
0.0431027,-0.00202168
0.0296486,0.0114377
-0.000907501,0.0133863
-0.0116009,0.0175258
-0.00871874,0.0187585
-0.00473569,0.00516307
-0.000676421,-0.0139621
-0.00245289,-0.0162674
0.00279813,-0.0116606
0.00639525,-0.0161442
-0.000745155,-0.00122153
-0.0121527,0.00076973
-0.0216807,0.00226297
-0.0249024,0.00958692
-0.0210603,-0.00256007
-0.0107234,-0.0206449
-0.00785249,-0.019931
-0.00944263,0.00368511
-0.0232685,0.011405
-0.026917,0.00804111
-0.00496126,0.0190794
0.0139653,0.0226953
0.0200539,0.00322472
0.0188051,-0.0237701
0.01285,-0.0224008
0.0130145,-0.0142131
0.0241665,-0.00886846
0.0336339,0.00249666
0.0315842,0.00663699
0.0158609,0.0116192
-0.00394499,0.0258565
-0.0232802,0.00389807
-0.0338652,-0.0240026
-0.0356708,-0.0167295
-0.0341371,-0.0013368
-0.0353188,0.00382048
-0.0276106,0.0140151
-0.00363082,0.0209119
0.00874669,0.0126473
0.00426899,-0.0104758
0.00613907,-0.0247227
0.00779304,-0.015551
0.0108814,-0.0126627
0.0172911,-0.00218544
0.0240798,0.0143318
0.012443,0.0166321
-0.00331977,0.00772602
-0.005892,0.0040371
4.42e-05,-0.00925357
0.00263821,-0.0148427
-0.000840767,0.00128878
0.000533745,0.0123923
0.00505711,0.00882158
0.00448261,0.0114668
0.00561441,0.020315
0.00469938,0.0125485
0.00293866,-0.0143184
0.00809017,-0.025686
0.0248969,-0.0117019
0.0347316,-0.00546618
0.0216267,0.00432429
0.00146595,0.012509
-0.00679977,0.0111539
0.0158175,0.00461585
0.0227096,-0.00224603
0.0134362,-0.0305962
-0.00513826,-0.0371073
-0.0448494,-0.00724282
-0.0564639,0.0145969
-0.0296474,0.0193913
-0.0191106,0.0145541
-0.00910759,0.0236713
-0.0150759,0.0100596
-0.0214349,-0.0135534
-0.0120313,-0.0104795
-0.0101669,-0.00329258
-0.0120611,-0.00098028
-0.00967536,0.00919787
-0.00261735,0.0120977
0.00262495,0.00164834
0.00863368,-0.00539804
0.0137385,-0.00893233
0.0175435,-0.0178125
0.0215066,-0.0110736
0.0352474,0.0082144
0.0350443,0.0129992
0.0232127,0.011477
0.0142998,0.01512
0.00251155,0.0170294
-0.0186467,-0.00166613
-0.0439373,-0.0195083
-0.07075,-0.0221118
-0.0424309,-0.0178006
0.000126283,-0.0061552
0.0245004,0.00523892
0.0313638,0.00993293
0.037405,0.00475286
0.0291927,-0.000309063
0.0125531,-0.0155076
0.00305789,-0.0227617
0.00511447,-0.00606566
0.0156512,0.00739686
0.00740606,0.0084896
0.000290128,0.0186779
-0.00679191,0.027166
-0.0171081,0.0141431
-0.0332891,-0.00810956
-0.0423708,-0.0136612
-0.0430731,-0.0100635
-0.0433676,-0.000335995
-0.0245261,0.00480985
0.00184451,0.0024477
0.0464007,0.0164706
0.0704019,0.00777623
0.0600765,-0.00225832
0.0287147,-0.0137483
-0.00729426,-0.0233173
-0.0159688,-0.01393
-0.00303944,0.00751918
0.00920392,0.0191996
0.0168447,0.0279704
0.0286762,0.0289358
0.0368244,0.00727281
0.0309593,-0.0161715
0.00209069,-0.0159868
-0.0488798,-0.0128721
-0.0699729,-0.0109461
-0.0616638,2.9e-05
-0.0275954,0.00725072
0.00229092,0.00125082
0.0237861,-0.00161336
0.0443676,-0.0108663
0.02352,-0.0281614
-0.0041773,-0.0276779
-0.0197161,-0.00676078
-0.0182914,-0.000329877
-0.00210257,-0.00182864
0.00740543,0.00611505
0.00931263,0.0160139
0.00781805,0.0100764
0.000353855,-0.0014352
